Timestamp (ms),Gap Error (m)
1726248775130,-0.12976264821789618
1726248775148,-0.15498678567169466
1726248775163,-0.13750046299775098
1726248775182,-0.15342289515344865
1726248775204,-0.11810765765530928
1726248775233,-0.1491673595300167
1726248775248,-0.12314976307696157
1726248775267,-0.13932011446017079
1726248775284,-0.10272385192331512
1726248775305,-0.11886211112889922
1726248775323,-0.09266127387765732
1726248775342,-0.12631670187763522
1726248775365,-0.0885622928942007
1726248775379,-0.10516335745549688
1726248775394,-0.08613650996420885
1726248775413,-0.12002214768789576
1726248775431,-0.09368615921168488
1726248775454,-0.11113199328594536
1726248775474,-0.07229123161627715
1726248775498,-0.10692007273902315
1726248775510,-0.07648058612571562
1726248775533,-0.09483648166344594
1726248775549,-0.06352515544314663
1726248775566,-0.08140569996975233
1726248775580,-0.06177268754481835
1726248775598,-0.09754019279995396
1726248775620,-0.05746332866891257
1726248775636,-0.07373444990177624
1726248775651,-0.054066495743120946
1726248775671,-0.09090705197440063
1726248775684,-0.07107140313875004
1726248775703,-0.08959550429679197
1726248775719,-0.05138981006494814
1726248775742,-0.08641817675403596
1726248775756,-0.06671417513306022
1726248775775,-0.08563746902519309
1726248775790,-0.046136620573411724
1726248775806,-0.06493562149994103
1726248775823,-0.045996267047803796
1726248775841,-0.08143141584817082
1726248775863,-0.04221548528973296
1726248775878,-0.06151665235837123
1726248775894,-0.041900623739690834
1726248775911,-0.08077821945069763
1726248775923,-0.06170827848939209
1726248775940,-0.07061154366602262
1726248775957,-0.03172656077341518
1726248775986,-0.07093882327960954
1726248775999,-0.05140132765902683
1726248776019,-0.07622719032857317
1726248776038,-0.03916788910516167
1726248776053,-0.05927222675702293
1726248776069,-0.04003560138297391
1726248776091,-0.08037529159167889
1726248776117,-0.040905615064960044
1726248776133,-0.05554776508518677
1726248776149,-0.03636079167905515
1726248776167,-0.0770301243972289
1726248776180,-0.057788190500830394
1726248776197,-0.07829411260101615
1726248776215,-0.03941834966449309
1726248776239,-0.07951370523680201
1726248776254,-0.06043229715778842
1726248776271,-0.0813213812796807
1726248776288,-0.04325051637230981
1726248776305,-0.06402706483995191
1726248776322,-0.04408237172639451
1726248776340,-0.08106292022108619
1726248776363,-0.04312313026620429
1726248776378,-0.06422201863447796
1726248776394,-0.04538549255463842
1726248776411,-0.08776409181528777
1726248776424,-0.06860439844410626
1726248776442,-0.08088273893773135
1726248776458,-0.043472566934862567
1726248776483,-0.08613688863374303
1726248776498,-0.06735369614989106
1726248776516,-0.08918086666353986
1726248776532,-0.04911343702478432
1726248776546,-0.0706339446233264
1726248776562,-0.05193681377710968
1726248776579,-0.09524452631894809
1726248776604,-0.057522581965311126
1726248776619,-0.08284031876025333
1726248776634,-0.0651792820116528
1726248776654,-0.10026049773653445
1726248776670,-0.08127892522411151
1726248776693,-0.10328547241713193
1726248776715,-0.055552076187917354
1726248776744,-0.09618252092799162
1726248776757,-0.0767757470048176
1726248776774,-0.0988774523730922
1726248776790,-0.05986866700915705
1726248776807,-0.08198046200688269
1726248776823,-0.056202143032363816
1726248776842,-0.09547405180724122
1726248776865,-0.05576478488206038
1726248776880,-0.07792364858191436
1726248776898,-0.05793868671358471
1726248776917,-0.09820837569011598
1726248776931,-0.06963918082436105
1726248776951,-0.09198855783338655
1726248776968,-0.05112421562267877
1726248776993,-0.0959261179365245
1726248777006,-0.060684808085439856
1726248777023,-0.07767970040710437
1726248777038,-0.04422180351328864
1726248777054,-0.06649359564349
1726248777071,-0.04543177974565071
1726248777089,-0.09016867503845782
1726248777112,-0.039614122264353346
1726248777126,-0.05824158272155011
1726248777144,-0.0366469073393112
1726248777164,-0.0813530842394774
1726248777183,-0.05959153294619224
1726248777201,-0.08203519755413557
1726248777216,-0.032676667618359856
1726248777241,-0.07348800866241922
1726248777254,-0.05127002118295465
1726248777275,-0.07369097185982176
1726248777290,-0.028963763774174867
1726248777304,-0.051454906852504756
1726248777320,-0.024427634120344655
1726248777338,-0.06388037695994986
1726248777362,-0.018384439215917148
1726248777379,-0.04082014981180837
1726248777399,-0.01794478798175425
1726248777423,-0.05974181327471495
1726248777435,-0.032458474335617105
1726248777453,-0.055023044656064
1726248777468,-0.008763240977639475
1726248777492,-0.0539814200442259
1726248777505,-0.030743116437153883
1726248777523,-0.048945492952376934
1726248777539,0.0018336197037056579
1726248777559,-0.02075397648847166
1726248777573,0.002729252527623016
1726248777594,-0.04269746126479723
1726248777617,0.007737763848052248
1726248777634,-0.01156830727009961
1726248777652,0.012131536742288507
1726248777671,-0.03348951003690037
1726248777684,-0.009741472436628928
1726248777706,-0.032665930203334304
1726248777723,0.017193193508948434
1726248777750,-0.025956605807166744
1726248777766,-0.0020507376421585732
1726248777783,-0.025089680975160178
1726248777800,0.02281176373138316
1726248777819,-0.004907412249138821
1726248777841,0.02211803873894236
1726248777860,-0.01732469555199323
1726248777887,0.03087440263346819
1726248777904,0.007629495873388681
1726248777920,0.03413083184441845
1726248777938,-0.0097218179836982
1726248777953,0.014497806638414712
1726248777974,-0.008852650356176106
1726248777989,0.03966807058701294
1726248778016,-0.005165971206154474
1726248778030,0.021539082523444497
1726248778047,-0.0018833731396228348
1726248778062,0.046911558178904356
1726248778082,0.02347279958892079
1726248778103,0.04791156071155589
1726248778121,0.003851393155070326
1726248778148,0.05546364598086284
1726248778168,0.03206987083850299
1726248778184,0.05665036032992887
1726248778202,0.0098949045972887
1726248778217,0.04539395495303444
1726248778235,0.024190405948461446
1726248778252,0.06623776255173164
1726248778278,0.01970896683359169
1726248778292,0.04448141337317413
1726248778310,0.02127676804909928
1726248778328,0.07272161742644512
1726248778349,0.05069546789035373
1726248778363,0.07559587554081415
1726248778380,0.029498128484051422
